	COD	UF	Renda(Total)	Renda(Beneficios)	Total(%)	Beneficio(>Sal)	Beneficio(>Sal)(%)	Beneficio(<=Sal)	Beneficio(<=Sal)(%)
154	am	1304302	2641418.26978211	204964.37157349	0.07759633296940793	54606.50124333	0.02067317466076074	150357.87033016	0.056923158308647186
155	am	1301704	4399031.22112611	348226.21745913	0.07915975130769529	131171.56747974	0.029818285182836538	217054.64997939	0.04934146612485875
156	am	1301100	1987557.22023108	287392.68825553	0.14459593179516955	89789.11270186	0.04517561144298569	197603.57555367	0.09942032035218386
157	am	1301605	1456733.42214814	251916.45710496	0.17293243449681886	80896.28177886	0.055532659956114734	171020.1753261	0.11739977454070413
158	am	1301803	581019.69218263	101232.93564358	0.1742332265250655	30268.97628668	0.05209630016664849	70963.9593569	0.12213692635841703
159	am	1301308	1226490.23030178	181101.87222937	0.1476586341701308	43513.94921328	0.03547843116742424	137587.92301609	0.11218020300270656
160	am	1303304	1219743.64911384	173605.40163828	0.14232941631990184	25272.3090857	0.02071936107563312	148333.09255258	0.12161005524426872
161	am	1303601	593906.30115063	96438.42386671	0.1623798630859293	11321.0108158	0.019061947640337796	85117.41305091	0.14331791544559153
162	am	1300508	1388962.28996427	313906.85027865	0.22600098832541018	55579.48202383	0.040015112307519696	258327.36825482	0.1859858760178905
163	am	1300706	2572131.27100134	379213.55119285	0.14743164762551983	182295.14608136	0.07087318914729879	196918.40511149	0.07655845847822104
164	am	1300029	1141549.01424762	74276.20318176	0.06506615331862423	3518.05884198	0.0030818289868163977	70758.14433978	0.06198432433180784
165	am	1303502	663178.83988286	121429.4488118	0.18310211591378367	29275.5737359	0.044144312175387064	92153.8750759	0.13895780373839658
166	am	1304203	7696242.33359344	687262.80297729	0.08929848790980068	195857.40236607	0.02544844534210795	491405.40061122	0.06385004256769274
167	am	1301209	5484002.53497189	640346.58460545	0.11676628165685783	195141.76498793	0.03558382107657619	445204.81961752	0.08118246058028164
168	am	1301902	8463106.83077466	1427104.58009971	0.16862655861914505	687713.85096338	0.08126021149380092	739390.72913633	0.08736634712534413
169	am	1300680	601838.79588971	132920.71183663	0.22085766611328328	31312.53710219	0.05202811336863066	101608.17473444	0.1688295527446526
170	am	1301001	1921748.62670572	189646.07862839	0.09868412340352918	61865.63150547	0.032192364103062046	127780.44712292	0.06649175930046713
171	am	1303536	3381288.34658761	196939.36884465	0.058243884773506775	109256.1815831	0.03231199779023908	87683.18726155	0.025931886983267698
172	am	1301852	3691370.79869756	520266.69726308	0.14094132657890873	268100.61792283	0.07262901305320639	252166.07934025	0.06831231352570234
173	am	1301506	846695.79683437	160848.96922366	0.18997256136742718	44849.36946927	0.05296987375743806	115999.59975439	0.1370026876099891
174	am	1301159	1461533.52734787	206189.49638355	0.14107750012256365	46314.29041506	0.03168883200312408	159875.20596849	0.10938866811943956
175	am	1300144	1812718.65172634	77222.77375923	0.04260052914758007	11080.94226402	0.006112885887430507	66141.83149521	0.03648764326014957
176	am	1304062	5448512.4267976	513113.59303427	0.09417498811429818	265873.43990485	0.048797436635584376	247240.15312942	0.04537755147871381
177	am	1302306	1496156.28746006	113342.67110074	0.07575590334426589	12115.35073768	0.008097650519015996	101227.32036306	0.0676582528252499
178	am	1302405	1897131.76075817	263032.35476154	0.13864738348823052	54680.03657551	0.028822477018495364	208352.31818603	0.10982490646973517
179	am	1303106	1708107.66424201	275031.87496661	0.16101553826155224	56458.65013131	0.033053332242007176	218573.2248353	0.12796220601954506
180	am	1301654	462618.05185758	141038.24452068	0.3048697385550781	62725.5929934	0.13558829522871815	78312.65152728	0.16928144332636
181	am	1302553	1454479.79610489	157620.63971592	0.10836908160431619	25432.10729022	0.017485363054424965	132188.5324257	0.09088371854989122
182	am	1300607	1779309.64025559	303454.64363043	0.1705462819764412	110724.28235858	0.06222878798244186	192730.36127185	0.10831749399399934
183	am	1301407	1831598.71866828	236275.63656183	0.12899967342935326	71707.87361454	0.03915042792052039	164567.76294729	0.08984924550883287
184	am	1300904	676289.30032831	65455.21845685	0.0967858258663478	26403.46342258	0.039041669607610574	39051.75503427	0.057744156258737224
185	ap	1600238	370976.10454639	63697.69704067	0.1717029648541816	37743.33496269	0.10174060943585722	25954.36207798	0.06996235541832438
186	ap	1600402	1042428.42630991	143937.46412809	0.1380789898809781	65341.29797691	0.06268180752534877	78596.16615118	0.07539718235562934
187	ap	1600808	922032.43186162	53220.23045388	0.05772056233035778	21453.94759839	0.0232681051739944	31766.28285549	0.03445245715636338
188	ap	1600600	13065949.7712513	1058974.68500319	0.08104842767214879	631069.35488159	0.04829877398351224	427905.3301216	0.03274965368863655
