Cod2000	uf	Cod2010	gini(g)	parcela(ch)	p_total	p_1sal	p_nsal
2608206	pe	['2608206']	0.4418957928477437	0.37095386202249314	0.07094193082525058	0.32783475516007565	-0.3333938286354089
2608255	pe	['2608255']	0.45129987802647276	0.5358938477568449	-0.08459396973037214	0.0072796804309277485	-0.39243625112245295
2608305	pe	['2608305']	0.46005903979899143	0.5328121515596553	-0.0727531117606639	0.08885177204943273	-0.39230034912411915
2608404	pe	['2608404']	0.42758667193688205	0.5260518966937404	-0.09846522475685837	0.05971438012787855	-0.42313158702825837
2608453	pe	['2608453']	0.39030764373056903	0.4855405189506684	-0.09523287522009938	0.12798196745945556	-0.48291884812371566
2608503	pe	['2608503']	0.3866547571843377	0.42456800087978275	-0.03791324369544502	0.1472548790410173	-0.4494627810559306
2608602	pe	['2608602']	0.45298211712932446	0.5666498752335863	-0.11366775810426188	0.00777928475121592	-0.433187604540893
2608701	pe	['2608701']	0.43278920466966786	0.5689339020300255	-0.1361446973603576	0.0800760637166944	-0.46021602599572964
2608750	pe	['2608750']	0.4692027495938329	0.3935295665830094	0.07567318301082349	0.23491639814477938	-0.31943076432047945
2608800	pe	['2608800']	0.4568523439114204	0.4902951049212311	-0.033442761009810695	0.16448576759089606	-0.39706691677767847
2608909	pe	['2608909']	0.47505968965783407	0.39306239767610573	0.08199729198172834	0.38217099350873285	-0.33282837479618665
2609006	pe	['2609006']	0.45694040793615476	0.5281899756959917	-0.07124956775983693	0.09461164116814591	-0.40682016356093564
2609105	pe	['2609105']	0.37668351875616657	0.46960483951564946	-0.0929213207594829	0.11825873460682523	-0.45003120284757336
2609154	pe	['2609154']	0.43366343233712046	0.5829195262224192	-0.1492560938852987	-0.032252461168896684	-0.4209872210232273
2609204	pe	['2609204']	0.4899515792233279	0.5751201222968251	-0.0851685430734972	0.1281535961838831	-0.4488709475802525
2609303	pe	['2609303']	0.466128559304265	0.4346141311358769	0.03151442816838812	0.14747991555700324	-0.3527298968875817
2609402	pe	['2609402']	0.46044160545310975	0.4755754983146979	-0.015133892861588172	0.3833559499271597	-0.38804170663857673
2609501	pe	['2609501']	0.43919777936355286	0.44981057865833984	-0.010612799294786979	0.3747778410098159	-0.40892234847966835
2609600	pe	['2609600']	0.5326050663226113	0.5899940449305839	-0.05738897860797265	0.7479800378914329	-0.2639643989437175
2609709	pe	['2609709']	0.40374617404670143	0.40733769667227815	-0.003591522625576715	0.16114457426586282	-0.4322795555853164
2609808	pe	['2609808']	0.50402946933661	0.6187784696939176	-0.11474900035730762	0.014740042127781794	-0.3654490830873012
2609907	pe	['2609907']	0.5312304571130957	0.4368542004021978	0.09437625671089789	0.2739084933538458	-0.2716125020063903
2610004	pe	['2610004']	0.43926100078536456	0.4200129818465781	0.01924801893878647	0.3255409443745054	-0.36584035848886765
2610103	pe	['2610103']	0.4427395230983383	0.47042585101031076	-0.027686327911972453	0.1455171545874827	-0.37503120595870443
2610202	pe	['2610202']	0.4550800964376356	0.4578219897957797	-0.0027418933581441207	0.1341243570386338	-0.40406371091238646
2610301	pe	['2610301']	0.4190594734366555	0.42307451327568646	-0.004015039839030954	0.2053250704400924	-0.3917493919338383
2610400	pe	['2610400']	0.5146769128143821	0.5171003219042994	-0.002423409089917339	0.23364402892148606	-0.3589991916558347
2610509	pe	['2610509']	0.4279451911804215	0.4828392804453703	-0.054894089264948764	0.17269444666352596	-0.3912204139455737
2610608	pe	['2610608']	0.5109739856895102	0.5402265121491844	-0.029252526459674133	0.4163976684037848	-0.390739745002898
2610707	pe	['2610707']	0.47034618223026137	0.484839318055276	-0.014493135825014658	0.6793672586796337	-0.29599340880757297
2610806	pe	['2610806']	0.45233141993708315	0.5078904773617594	-0.05555905742467626	0.13154606448992912	-0.38043686522126074
2610905	pe	['2610905']	0.5054617475924899	0.5214009762456235	-0.015939228653133686	0.238747203272059	-0.35522932970831955
2611002	pe	['2611002']	0.5312835166704859	0.5429171615685979	-0.011633644898112028	0.33297354168014204	-0.3087890182337094
2611101	pe	['2611101']	0.5916021771509419	0.44564681557050345	0.14595536158043843	0.6756564503567555	-0.21187400330045392
2611200	pe	['2611200']	0.4809638311065497	0.5888662954380379	-0.1079024643314882	0.026937798623623777	-0.42157675565346875
2611309	pe	['2611309']	0.44144357852086524	0.4017074423318482	0.03973613618901706	0.22665901336416616	-0.41150090275714535
2611408	pe	['2611408']	0.43502519822559094	0.46039221286066745	-0.025367014635076512	0.16659773049075355	-0.36639678774948103
2611507	pe	['2611507']	0.41525678042031444	0.4528775891730603	-0.03762080875274587	0.07663669790384353	-0.4128208817953093
2611533	pe	['2611533']	0.4104179327592501	0.43462616554236366	-0.02420823278311357	0.15476023984506215	-0.43143262576849795
2611606	pe	['2611606']	0.6680593260245355	0.6885570857979872	-0.020497759773451696	0.9219329296436336	-0.1516030386060786
2611705	pe	['2611705']	0.43663754494846796	0.47245865283077637	-0.03582110788230841	0.1387786079732639	-0.44703404801292435
2611804	pe	['2611804']	0.45690860786950904	0.4431135283654657	0.01379507950404335	0.3746136100833589	-0.36430118904967057
2611903	pe	['2611903']	0.39184793139803575	0.35601526784299875	0.035832663555037	0.3282773287428806	-0.45067237089156675
2612000	pe	['2612000']	0.39772907909755195	0.49308771200029544	-0.09535863290274349	0.10767154164188042	-0.44479113575415785
2612109	pe	['2612109']	0.3732511880674817	0.39140415881699886	-0.01815297074951716	0.13028340212772282	-0.4791227437856047
2612208	pe	['2612208']	0.568454495424949	0.4832867689740512	0.08516772645089776	0.49402397840699164	-0.23060769802401093
2612307	pe	['2612307']	0.45754617388962515	0.4690823230187101	-0.01153614912908496	0.21102260804481254	-0.39639486836070437
2612406	pe	['2612406']	0.4470445411622874	0.5618167946679204	-0.11477225350563303	0.13983114208588487	-0.4160681935658357
2612455	pe	['2612455']	0.48012450467433154	0.5044806840238669	-0.02435617934953538	0.13001165308447205	-0.3683945100880478
2612471	pe	['2612471']	0.4555087375950686	0.4640844604206845	-0.008575722825615917	0.16869499725880355	-0.37200905428953457
2612505	pe	['2612505']	0.4410435640473318	0.34652363314067836	0.09451993090665345	0.3753685314392985	-0.3658351701606728
2612554	pe	['2612554']	0.4274662992433369	0.5024826329471266	-0.07501633370378968	0.07589603079430451	-0.43387538684474947
2612604	pe	['2612604']	0.5117717642522398	0.4899693811701751	0.021802383082064725	0.10798275721159911	-0.2816105034134193
2612703	pe	['2612703']	0.4079452012778265	0.46782769234559707	-0.05988249106777055	0.1263477645018528	-0.4432781396610471
2612802	pe	['2612802']	0.44056094971109727	0.47862802150365524	-0.03806707179255797	0.169102602498017	-0.3571090619762328
2612901	pe	['2612901']	0.3607501185994615	0.4501454681626724	-0.08939534956321094	0.04966090643233856	-0.5342498890006118
2613008	pe	['2613008']	0.5436259394367899	0.48959292378680086	0.05403301564998908	0.17781696790267243	-0.28996895733067063
2613107	pe	['2613107']	0.4334725105500771	0.4451810758692114	-0.011708565319134334	0.19532373354955268	-0.4370001476950224
2613206	pe	['2613206']	0.5212526056769871	0.5520040969535113	-0.030751491276524212	0.12195825572209973	-0.3035943114354812
2613305	pe	['2613305']	0.44303335759020546	0.6026774135965731	-0.15964405600636766	0.05319519566470632	-0.4960527507539282
2613404	pe	['2613404']	0.5198183908384097	0.5393390710733315	-0.019520680234921706	0.3713897063731795	-0.3341309035583243
2613503	pe	['2613503']	0.49149563717042777	0.4970813279769508	-0.005585690806523047	0.2053977848602152	-0.3662747980827774
2613602	pe	['2613602']	0.4992370189299701	0.5209137750345476	-0.021676756104577533	0.2584257007540035	-0.365067896740886
2613701	pe	['2613701']	0.46437633379586063	0.4732056662710973	-0.008829332475236651	0.43477310454732687	-0.39021209839420046
2613800	pe	['2613800']	0.48376744750456735	0.4986156007292232	-0.014848153224655825	0.09776169655569189	-0.4138603082457645
2613909	pe	['2613909']	0.5319597311887856	0.4654691973709697	0.06649053381781589	0.4120468952464127	-0.303241917915418
2614006	pe	['2614006']	0.4926605710554054	0.4816153496301191	0.0110452214252863	0.17702424817584417	-0.35481454268957735
2614105	pe	['2614105']	0.5385289041915065	0.45923993561558163	0.07928896857592482	0.36695675024888896	-0.2899059281513585
2614204	pe	['2614204']	0.394180792182627	0.4316226204207554	-0.03744182823812836	0.20892349454352388	-0.41866868301743554
2614303	pe	['2614303']	0.4430456153262232	0.5167180500626312	-0.07367243473640794	0.08952472003045708	-0.3942562921701257
2614402	pe	['2614402']	0.4761009759462327	0.4226407168626859	0.05346025908354679	0.26438749512442616	-0.28919877640379454
2614501	pe	['2614501']	0.46247531690828836	0.35710829129032373	0.10536702561796463	0.34108792517796627	-0.38543019591980465
2614600	pe	['2614600']	0.4668978529554546	0.5126126286371263	-0.045714775681671704	0.13581721162809823	-0.3690998799403189
2614709	pe	['2614709']	0.38261205107978746	0.4932395880079067	-0.11062753692811922	0.05541458780397601	-0.491746218592196
2614808	pe	['2614808']	0.4149068124199675	0.5340685749104888	-0.11916176249052124	0.03536109187222025	-0.468592220477441
2614857	pe	['2614857']	0.46255957573484374	0.58727955022601	-0.12471997449116623	0.34357998485297836	-0.40880490630648136
2615003	pe	['2615003']	0.3970164694509609	0.4448177531414559	-0.04780128369049497	0.26238602213948814	-0.49520160371054345
2615102	pe	['2615102']	0.4699682086618113	0.5210479011225421	-0.05107969246073074	0.11081034260457356	-0.356398935474313
2615201	pe	['2615201']	0.4574566963009421	0.5658428214894523	-0.10838612518851021	0.13820640905166348	-0.44619117153976606
2615300	pe	['2615300']	0.44599449398794344	0.40420074455649313	0.04179374943145031	0.27212251730568027	-0.3732867947149259
2615409	pe	['2615409']	0.41080054718806525	0.28666938021337507	0.12413116697469018	0.4500165043888916	-0.40077225328772237
2615508	pe	['2615508']	0.3836059725047214	0.3939370270249435	-0.010331054520222094	0.1651495340782856	-0.5130772824422625
2615607	pe	['2615607']	0.5256178254798689	0.4004964777832666	0.12512134769660233	0.31106774805483794	-0.26624450662234134
2615706	pe	['2615706']	0.5325624182313553	0.5467180822653891	-0.014155664034033788	0.33061319369217657	-0.31171122317976363
2615805	pe	['2615805']	0.4746794287653322	0.507334975840648	-0.032655547075315816	0.08135679211555191	-0.3845900044567756
2615904	pe	['2615904']	0.4642310238858848	0.4552829499217955	0.008948073964089254	0.22202058798451307	-0.3274464870604217
2616001	pe	['2616001']	0.4656050216221309	0.49844714219394093	-0.03284212057181002	0.1446443545905869	-0.4105128816069885
2616100	pe	['2616100']	0.46701398207882105	0.4362762893532033	0.03073769272561777	0.2676954464336061	-0.34484659383430616
