COD2000,UF,COD2010,GINI(G),PARCELA(CH),P_TOTAL,CH_1SAL,P_1SAL,CH_NSAL,P_NSAL,MBEN_TOT,MBEN_1SAL,MBEN_NSAL
1101807,RO,['1101807'],0.5383875178826414,0.4031869058941404,0.13520061198850097,0.06865559652440645,0.46973192135823494,0.8308899519281343,-0.2925024340454929,0.24529824062457714,0.13764113878905615,0.10765710183552099
1200013,AC,['1200013'],0.4682534112637833,0.34977392892363124,0.11847948234015204,0.13531992701618134,0.33293348424760194,0.8179073005802103,-0.34965388931642705,0.17446848772415527,0.11965431030416204,0.05481417741999324
1200054,AC,['1200054'],0.4590009540079748,0.31000349764826773,0.14899745635970707,-0.0569571838727807,0.5159581378807555,0.6434921425146732,-0.18449118850669843,0.1187836344172742,0.056553688870579835,0.062229945546694365
1200104,AC,['1200104'],0.5080455532663684,0.5060451891892644,0.002000364077103911,0.13214239317644516,0.3759031600899232,0.8185411600718562,-0.3104956068054878,0.20788046053038844,0.09464149627597235,0.1132389642544161
1200138,AC,['1200138'],0.48038571193780444,0.42003305849431294,0.0603526534434915,0.007111971441188247,0.4732737404966162,0.7930005190945243,-0.31261480715671985,0.20322935231529407,0.09644870850808762,0.10678064380720646
1200179,AC,['1200179'],0.5049290933543774,0.3519465561516274,0.15298253720275,0.095288364566403,0.4096407287879744,0.7401221924651451,-0.2351930991107677,0.1413981630324119,0.08511855230598714,0.056279610726424754
1200203,AC,['1200203'],0.5821418222011288,0.3821264329860794,0.20001538921504936,0.02754949556687336,0.5545923266342554,0.6850935101311829,-0.10295168793005416,0.12976421593779316,0.05978958723660349,0.06997462870118967
1200252,AC,['1200252'],0.5724099919559162,0.43384868936734655,0.1385613025885697,0.12628464772864145,0.4461253442272748,0.7412235768235718,-0.16881358486765552,0.13644710620875392,0.06820256765394803,0.06824453855480588
1200302,AC,['1200302'],0.5463430087971426,0.4006946443025786,0.14564836449456398,0.14994479894260104,0.39639820985454155,0.7121809659054106,-0.16583795710826799,0.1802830225296223,0.09987919460703619,0.08040382792258612
1200328,AC,['1200328'],0.5338642408224947,0.2926633517224204,0.2412008891000743,0.16862681904064636,0.36523742178184837,0.7602258530770014,-0.22636161225450668,0.12346871227755929,0.09758186986488065,0.025886842412678635
1200336,AC,['1200336'],0.5310226401470242,0.37759491781067966,0.1534277223363445,0.09358715485051794,0.4374354852965062,0.727132338650115,-0.1961096985030908,0.206525905705644,0.11394377901184376,0.09258212669380023
1200344,AC,['1200344'],0.5104431811040749,0.3029817798772815,0.20746140122679346,0.08932574834893514,0.4211174327551398,0.6760467077392216,-0.16560352663514666,0.1256897545282307,0.07991948890795948,0.045770265620271214
1200351,AC,['1200351'],0.4636807038236255,0.542255382433602,-0.07857467860997658,0.3346679451435495,0.129012758680076,0.8263043535466154,-0.3626236497229899,0.16460929430487764,0.0951050408061034,0.06950425349877426
1200385,AC,['1200385'],0.4683703994309174,0.3511367703707262,0.11723362906019119,0.012684284679728375,0.45568611475118903,0.7773955338492553,-0.3090251344183379,0.22206756135192132,0.12378298895610704,0.09828457239581427
1200393,AC,['1200393'],0.5550692133657824,0.4373180295497925,0.11775118381598992,0.18706123151371779,0.3680079818520646,0.6744037207390707,-0.11933450737328832,0.17701644899658764,0.08611616694644714,0.0909002820501405
1200401,AC,['1200401'],0.5735503932521635,0.5415856887991934,0.03196470445297006,-0.3040455877592616,0.8775959810114251,0.7659342443673194,-0.19238385111515588,0.1379078722654114,0.028915901978008956,0.10899197028740246
1200427,AC,['1200427'],0.5257979255188043,0.5277555616599122,-0.001957636141107888,0.356000726107097,0.16979719941170734,0.8497681605221903,-0.32397023500338595,0.22243831595447947,0.14506412374461153,0.07737419220986791
1200435,AC,['1200435'],0.5243372164957159,0.06607727977108546,0.4582599367246304,-0.22182156341802317,0.746158779913739,0.8187939813695411,-0.2944567648738252,0.0552621128903329,0.039973182744127284,0.015288930146205616
1200450,AC,['1200450'],0.5246937807401242,0.5229588538421661,0.0017349268979580668,-0.0411419442298957,0.5658357249700199,0.8561147484444354,-0.3314209677043112,0.19397614950136793,0.07202431382931779,0.12195183567205013
1200500,AC,['1200500'],0.4561159726029712,0.37808994743456303,0.07802602516840818,0.08361338025354059,0.3725025923494306,0.7007938982069032,-0.24467792560393198,0.16109109981397965,0.0842293831902206,0.07686171662375904
