,UF,COD,Gini_RD,Gini_RP,RendaMedia,RendaMedia2010
305,BA,2914653,0.5462146208205997,0.4869746121515218,99.92,199.03
306,BA,2930303,0.5532412836102105,0.47124637356245813,75.63,150.66
307,BA,2930907,0.5859420665065059,0.4724319959299045,67.49,134.43
308,BA,2933000,0.5448653712581356,0.5356319177287803,107.58,214.29
309,BA,2933505,0.5138017853277274,0.3838852625902207,67.63,134.7
310,BA,2909208,0.55068004710244,0.37267891895740535,56.66,112.86
311,BA,2918506,0.5439802412549221,0.4644867128108233,74.7,148.8
312,BA,2914406,0.5284320777274144,0.4385794806128124,71.31,142.04
313,BA,2930204,0.5772915852612526,0.4762788698398215,71.51,142.44
314,BA,2932903,0.5906786322093507,0.5599111458892759,130.93,260.81
315,BA,2921203,0.5252154642431563,0.44937560820057787,87.8,174.9
316,BA,2906873,0.5597117699214829,0.5332101901894537,105.18,209.51
317,BA,2918803,0.5336333265966102,0.5001387540456235,99.59,198.37
318,BA,2910305,0.48684327853452003,0.47207109431687144,106.59,212.32
319,BA,2902906,0.370100245160747,0.2925308358827039,70.63,140.7
320,BA,2919009,0.4636596817747626,0.36282526302095675,63.13,125.74
321,BA,2903904,0.6239381142336322,0.5683963936226369,124.51,248.01
322,BA,2916906,0.6181630535448351,0.5787305517485053,112.19,223.47
323,BA,2906907,0.7222687651961793,0.6887504663600432,188.67,375.81
324,BA,2906204,0.5646991442287888,0.5042037198281399,87.72,174.74
325,BA,2913309,0.5039864219367154,0.4389554460866193,94.24,187.71
326,BA,2929370,0.5309982289662543,0.4419398740436704,67.14,133.74
327,BA,2926400,0.5956506927668094,0.4714861229047709,69.62,138.68
328,BA,2916807,0.5443338068981158,0.4425410305276928,97.13,193.47
329,BA,2929008,0.579448377294473,0.5178292119317897,110.91,220.93
330,BA,2930808,0.5602558689503798,0.4884220448686971,77.66,154.7
331,BA,2928505,0.43097185388414117,0.34654996074400324,74.88,149.15
332,BA,2923357,0.553376096222531,0.5110343203918506,67.28,134.02
333,BA,2910800,0.6082076241118095,0.5864410456514426,204.76,407.86
334,BA,2910727,0.6281974491574274,0.5991675335157853,194.37,387.17
335,BA,2929750,0.45679819836123126,0.4758184787772234,103.73,206.63
336,BA,2907004,0.5734579778919566,0.46731815786467257,71.53,142.49
337,BA,2901353,0.5391849501319442,0.4364753169705622,76.15,151.68
338,BA,2913200,0.6629247212743141,0.617468893197854,141.29,281.45
339,BA,2905206,0.6417682123977704,0.5678169011814678,107.14,213.41
340,BA,2910057,0.5622669338754132,0.5067345894846902,146.44,291.69
341,BA,2926806,0.6618520163209608,0.44819883964976515,66.14,131.75
342,BA,2907608,0.597647510944681,0.4904044845995905,82.24,163.82
343,BA,2919900,0.5180188382897368,0.4990103216355355,70.34,140.1
344,BA,2903953,0.4841576761784192,0.3535902907885401,50.57,100.72
345,BA,2907202,0.5539628790716055,0.4731290644027537,88.42,176.13
346,BA,2914109,0.57588427790996,0.45541935573530834,83.43,166.18
347,BA,2907806,0.5413762254065313,0.5028977163125726,102.91,204.99
348,BA,2922052,0.5541960091787492,0.44176654573179686,50.31,100.21
349,BA,2905800,0.5786011469073088,0.5030243351514446,78.89,157.13
350,BA,2932457,0.5433345296350289,0.5190163124333523,68.4,136.24
351,BA,2916708,0.4728622782790366,0.4320039097729593,82.59,164.52
352,BA,2932705,0.48781704754307187,0.3925698600932842,82.69,164.72
353,BA,2903508,0.5178511334637868,0.4464162992527355,99.27,197.74
354,BA,2923902,0.5307949176556663,0.4436146762496235,93.89,187.02
355,BA,2932200,0.5646199824713822,0.4950192028575364,98.84,196.88
356,BA,2904050,0.41291889096562995,0.35243956632127915,74.94,149.26
357,BA,2922003,0.5917146882505306,0.5870687444518228,175.03,348.64
358,BA,2925709,0.498066009069009,0.36667112893604026,68.96,137.35
359,BA,2932507,0.5457490267083742,0.44071216075844566,83.0,165.32
360,BA,2918753,0.48227921116054784,0.37365530530387825,60.08,119.67
361,BA,2915007,0.5655776205365047,0.4045529785483256,58.84,117.19
362,BA,2927200,0.5711426597245107,0.47018629541924284,85.29,169.9
363,BA,2929354,0.4602964975729973,0.402496723426749,71.94,143.29
364,BA,2907905,0.5468752901035181,0.5321102120862363,101.03,201.23
365,BA,2916500,0.5307042978272061,0.4552170487773435,62.63,124.76
366,BA,2926301,0.5370886727103287,0.5306657147113201,103.58,206.32
367,BA,2932309,0.6081594801009153,0.5296199863122825,108.15,215.42
